count, mergeSort
500000,41.807100
1000000,87.060300
10000,0.693400
50000,3.699100
100000,7.674300
500000,43.234200
1000000,87.407600
10000,0.691600
50000,3.873200
100000,7.660600
500000,41.679400
1000000,87.381000
10000,0.692700
50000,3.706100
100000,7.677100
500000,42.346300
1000000,83.912100
10000,0.687200
50000,4.391500
100000,7.639900
500000,41.486300
1000000,85.967200
10000,0.684000
50000,3.649000
100000,7.756500
500000,40.767800
1000000,87.400700
10000,0.685900
50000,3.697100
100000,7.590100
500000,41.893800
1000000,85.675500
10000,0.689600
50000,3.791700
100000,7.746700
500000,41.157400
1000000,84.763000
10000,0.683900
50000,3.731600
100000,7.580100
500000,41.095300
1000000,84.638000
10000,0.690500
50000,3.800700
100000,7.533600
500000,40.791800
1000000,84.052300
10000,0.683800
50000,4.459700
100000,8.750100
500000,41.182300
1000000,83.749300
10000,0.869600
50000,3.740400
100000,7.599500
500000,41.360600
1000000,84.390100
10000,0.691100
50000,3.809300
100000,7.633800
500000,41.651500
1000000,86.514800
10000,0.876200
50000,3.804700
100000,7.779900
500000,41.524000
1000000,83.997900
10000,0.855400
50000,3.927600
100000,8.016700
500000,41.230500
1000000,83.808400
10000,0.724100
50000,3.691600
100000,10.507500
500000,41.660300
1000000,85.020500
10000,0.693400
50000,3.740700
100000,8.066300
500000,42.832400
1000000,83.795700
10000,0.697300
50000,3.736100
100000,7.646100
500000,40.665900
1000000,85.554800
10000,0.720400
50000,3.731600
100000,7.634000
500000,42.342100
1000000,84.876800
10000,0.685600
50000,4.277100
100000,7.580300
500000,40.533400
1000000,85.698500
10000,0.685300
50000,3.738900
100000,7.841300
500000,40.943700
1000000,85.921700
10000,0.687600
50000,3.706600
100000,8.189800
500000,41.336500
1000000,85.549300
10000,0.853800
50000,3.786800
100000,8.794900
500000,41.914200
1000000,83.672300
10000,0.690400
50000,3.759800
100000,7.642800
500000,41.178600
1000000,87.383200
10000,0.691700
50000,3.903500
100000,7.748800
500000,41.233900
1000000,85.085000
10000,0.685500
50000,3.753200
100000,7.782600
500000,42.208700
1000000,84.522000
10000,0.696300
50000,3.699200
100000,7.622400
500000,40.958100
1000000,85.001800
10000,0.702800
50000,4.107900
100000,8.120500
500000,41.916200
1000000,84.170200
10000,0.694200
50000,3.686500
100000,7.661200
500000,41.027500
1000000,85.200300
10000,0.693300
50000,4.134700
100000,7.612500
500000,42.050600
1000000,86.390700
10000,1.239700
50000,3.889600
100000,7.727700
500000,43.155900
1000000,88.215100
10000,1.038700
50000,4.231800
100000,7.587700
500000,41.621900
1000000,84.839200
10000,0.689100
50000,4.468900
100000,7.666500
500000,41.088100
1000000,85.725000
10000,0.686200
50000,3.855000
100000,7.699800
500000,40.650800
1000000,84.080600
